ID,Ag_Mn,Age,FE,G,EL,FS,FM,LS,FGS,FI,RDCS,DST
1,0,3,4,1,2,1,3,4,0,1,1,1
2,0,3,4,1,4,1,5,4,1,4,1,1
3,0,3,4,0,2,0,2,4,0,2,0,1
4,0,3,3,0,1,1,3,4,0,1,1,5
5,0,3,4,0,1,0,5,4,0,3,0,5
6,0,3,3,0,3,0,4,4,0,2,0,6
7,0,3,3,1,1,1,4,3,0,1,1,2
8,0,2,3,0,1,0,4,3,0,2,0,4
9,0,3,3,1,1,1,4,2,0,1,1,2
10,0,2,1,0,1,0,4,2,0,2,0,4
11,0,2,1,0,1,0,4,1,0,1,1,3
12,1,3,3,0,4,0,3,4,1,4,1,3
13,1,2,3,0,2,0,3,2,0,2,0,6
14,0,2,2,0,1,0,4,3,0,2,0,3
15,0,2,1,0,1,0,5,3,0,3,0,4
16,0,4,4,0,1,0,2,3,0,2,0,3
17,0,2,2,0,2,0,4,3,0,1,0,4
18,0,1,1,0,1,0,4,1,0,1,0,3
19,0,4,4,1,1,1,1,3,0,2,1,5
20,0,1,1,1,1,1,4,2,1,2,1,4
21,0,4,3,1,1,1,3,3,0,1,1,5
22,0,3,4,0,1,0,4,1,0,2,1,4
23,0,2,3,0,1,0,5,1,0,1,0,4
24,1,4,2,1,1,1,2,1,0,2,1,4
25,0,3,3,1,1,1,5,1,1,1,1,5
26,0,4,4,1,2,1,4,2,1,2,1,5
27,0,3,2,1,1,1,4,4,1,5,1,6
28,0,3,3,1,1,1,4,3,0,2,1,5
29,0,2,2,1,3,1,4,1,0,5,1,6
30,1,2,1,0,2,0,5,3,1,4,0,6
31,1,3,3,0,3,1,3,4,0,2,0,5
32,1,3,4,1,1,1,3,4,1,4,1,6
33,1,2,3,0,2,1,3,3,1,1,0,6
34,0,2,3,0,1,1,4,3,0,2,0,3
35,1,3,4,0,2,1,2,3,1,4,0,3
36,1,3,3,0,2,1,5,3,1,1,0,4
37,1,2,2,0,1,1,5,3,1,2,0,5
38,0,2,1,0,1,0,5,2,0,5,0,4
39,1,3,4,1,1,1,2,3,0,2,1,4
40,1,3,2,0,4,0,4,4,1,5,0,5
41,0,2,3,1,3,1,4,4,0,5,1,4
42,0,2,3,0,1,0,4,4,0,5,0,4
43,1,3,3,1,3,1,5,3,0,3,1,3
44,0,3,4,1,1,1,4,1,1,3,1,4
45,0,3,3,1,1,1,4,2,0,5,1,2
46,1,2,3,1,3,1,5,3,0,4,1,3
47,1,3,3,0,1,0,4,3,0,5,0,5
48,0,3,4,0,1,1,4,1,0,2,0,3
49,1,2,3,0,1,0,5,1,0,2,0,4
50,0,3,4,0,1,0,3,3,1,2,0,5
51,0,3,4,0,1,1,3,1,1,4,1,4
52,0,3,4,0,1,0,5,3,0,2,0,5
53,0,2,3,0,3,0,5,1,0,2,0,3
54,0,2,3,0,1,0,3,2,0,5,1,4
55,0,2,3,0,1,0,5,1,0,3,0,6
56,0,2,2,0,1,0,4,1,0,2,0,5
57,0,3,2,1,3,1,4,1,1,3,1,5
58,0,2,3,0,1,0,6,1,0,2,0,4
59,0,2,3,0,1,0,4,3,0,2,0,5
60,0,3,4,0,4,0,4,3,0,5,0,4
61,0,2,3,1,1,1,3,3,0,4,1,5
62,0,2,3,1,3,1,4,3,1,3,1,3
63,0,3,3,1,1,1,4,3,1,3,1,3
64,0,3,4,1,2,1,2,1,0,2,1,4
65,0,3,2,1,1,1,4,1,0,3,1,3
66,0,4,4,1,2,1,2,1,1,2,1,3
67,0,2,3,1,2,1,5,2,0,5,1,6
68,0,2,3,1,1,1,5,1,0,2,1,6
69,0,2,3,1,2,1,4,2,0,3,1,6
70,0,3,4,1,1,1,3,2,0,2,1,3
71,0,3,4,1,2,1,3,4,0,4,1,2
72,0,2,3,0,1,0,5,1,0,2,0,3
73,0,2,3,0,1,0,5,1,0,2,0,3
74,0,3,4,1,1,1,3,4,0,2,1,5
75,0,2,3,1,2,1,2,1,1,2,1,5
76,0,3,2,1,4,1,4,4,1,5,1,5
77,0,2,1,1,1,1,3,4,1,2,1,2
78,0,1,1,1,1,1,5,1,0,2,1,5
79,0,2,1,0,2,0,4,1,0,3,0,6
80,0,2,2,0,0,0,4,3,0,2,0,3
81,1,3,3,0,2,0,5,1,1,3,1,4
82,1,3,3,0,1,0,5,2,0,2,1,5
83,1,3,2,0,0,0,4,1,0,1,1,4
84,1,4,4,1,1,1,2,3,1,2,1,5
85,1,2,3,1,2,1,5,3,0,4,1,6
86,1,2,3,0,4,0,4,4,1,5,1,4
87,1,3,3,1,1,1,4,3,0,1,1,4
88,1,3,3,1,3,1,4,2,0,3,1,3
89,1,2,1,1,3,1,4,3,0,2,1,5
90,1,3,3,1,3,1,4,4,0,4,1,4
91,1,3,3,1,3,1,4,4,1,2,1,4
92,1,2,3,1,2,1,3,3,0,1,1,5
93,1,3,3,1,2,1,4,4,1,3,1,4
94,0,3,3,1,4,1,5,3,1,5,0,6
95,0,3,3,0,1,1,5,1,0,2,1,5
96,1,1,1,0,3,0,5,2,0,2,0,1
97,1,1,1,0,2,0,3,2,0,2,1,2
98,0,2,1,0,1,0,5,2,0,1,0,1
99,1,2,3,0,4,0,4,4,0,5,0,1
100,1,2,2,0,1,0,4,2,0,1,1,1
101,1,2,1,1,3,1,3,4,1,5,1,1
102,1,2,2,1,2,1,4,3,0,4,1,1
103,0,2,2,0,1,0,4,3,0,1,1,1
104,1,2,3,0,2,0,4,2,1,2,0,1
105,1,2,2,0,2,0,5,2,0,1,1,1
106,1,2,2,0,1,0,3,2,0,3,0,1
107,0,2,3,1,4,1,2,4,1,5,1,1
108,1,2,3,1,1,1,4,3,0,3,1,1
109,1,2,2,1,1,1,4,3,1,3,1,4
110,0,2,1,1,3,1,5,2,1,3,1,1
111,1,2,3,1,1,1,4,2,1,3,1,1
112,1,2,2,1,4,1,3,3,0,4,1,1
113,1,2,2,1,3,1,6,3,1,5,1,1
114,1,2,3,1,1,1,3,3,1,4,1,1
115,0,2,1,1,1,1,4,4,1,3,1,1
116,1,2,3,0,1,0,5,2,1,3,0,1
117,0,2,2,0,1,0,4,2,0,3,1,1
118,1,2,2,1,4,1,4,4,1,5,0,2
119,1,2,3,0,1,0,4,2,0,3,1,1
120,1,2,2,0,4,0,6,3,1,4,0,1
121,1,2,3,0,4,0,4,3,1,3,0,1
122,1,2,2,1,1,1,3,2,1,3,1,1
123,1,2,2,0,2,0,4,3,1,5,1,3
124,1,2,3,0,1,0,4,3,1,2,0,1
125,1,2,2,0,1,0,5,4,0,2,0,1
126,0,2,2,1,1,1,4,1,0,1,1,1
127,0,2,1,1,1,1,4,4,0,5,1,2
128,0,2,1,0,3,0,4,4,0,5,1,1
129,1,2,3,1,1,1,4,4,0,5,1,2
130,1,2,1,1,1,1,4,2,0,2,1,1
131,1,2,3,1,1,1,5,4,0,5,1,2
132,1,2,3,0,1,0,4,4,1,5,0,1
133,0,2,2,0,1,0,4,2,1,1,0,1
134,1,2,4,0,2,0,4,2,1,3,0,1
135,1,2,3,1,1,1,4,2,0,3,1,1
136,0,2,3,1,2,1,4,3,1,1,1,3
137,1,2,3,1,1,1,3,2,0,2,1,1
138,1,2,3,1,3,1,3,3,1,2,1,1
139,1,2,3,0,1,0,4,2,0,4,0,1
140,1,2,2,0,2,0,5,2,0,2,0,1
141,1,2,2,0,1,0,5,2,1,2,1,5
142,1,2,3,0,2,0,3,3,1,4,0,2
143,1,2,3,0,1,0,4,3,1,5,0,1
144,0,2,3,0,1,0,3,2,1,1,0,1
145,1,2,2,1,1,1,4,3,0,3,1,1
146,1,3,2,0,1,0,4,2,0,2,0,2
147,1,3,2,0,1,0,4,3,0,3,0,1
148,1,3,3,1,2,1,4,3,1,5,1,1
149,1,3,3,0,2,0,4,2,1,3,0,2
150,1,3,4,1,2,1,4,3,1,5,1,1
151,1,3,3,1,1,1,5,2,0,5,0,1
152,1,3,3,0,1,0,4,2,1,2,1,1
153,0,3,3,1,1,0,4,3,0,5,1,3
154,0,3,3,1,2,1,4,4,1,5,1,2
155,1,3,3,0,1,0,2,3,0,2,0,1
156,1,3,3,0,1,0,4,4,0,5,0,1
157,1,3,2,1,3,1,4,3,0,3,1,1
158,1,3,3,1,2,1,4,2,0,2,1,1
159,1,3,3,1,3,1,4,3,1,2,1,2
160,1,3,2,1,2,1,4,4,0,5,1,1
161,1,3,3,0,2,0,4,2,0,3,0,1
162,1,3,3,1,1,1,5,3,1,3,1,1
163,1,3,3,1,2,1,3,2,0,3,1,1
164,1,3,2,0,1,0,4,3,1,3,0,1
165,0,3,4,0,1,0,4,2,1,1,0,1
166,0,3,4,1,1,1,2,2,1,1,1,1
167,1,3,3,0,1,0,4,2,1,3,0,1
168,0,3,3,0,1,0,4,2,0,2,0,1
169,0,3,4,0,1,0,4,3,0,1,0,2
170,1,3,3,1,1,1,4,3,0,5,1,1
171,0,3,3,0,2,0,3,2,0,2,0,1
172,1,3,4,0,1,0,2,2,1,4,0,1
173,1,3,3,0,1,0,5,2,0,2,0,1
174,0,3,4,1,1,1,4,2,1,1,1,1
175,0,3,3,1,3,1,3,2,0,2,1,1
176,0,3,4,1,1,0,2,3,0,1,1,1
177,1,3,2,0,1,0,4,3,1,4,0,2
178,0,3,4,1,1,1,3,2,1,3,1,1
179,0,3,4,0,1,0,2,2,1,2,0,1
180,0,3,2,1,1,1,2,2,1,2,1,1
181,1,3,2,1,1,1,4,3,0,2,1,3
182,0,3,4,1,0,1,4,3,1,2,1,4
183,1,3,3,1,1,1,2,3,1,2,1,1
184,1,3,3,1,1,1,2,2,1,2,1,6
185,1,4,3,0,1,0,2,2,0,2,0,1
186,1,4,3,0,1,0,2,4,1,5,0,1
187,1,4,3,0,1,0,4,2,1,2,0,1
188,0,4,4,1,1,1,1,2,1,1,1,1
189,0,4,4,0,1,0,4,3,1,1,0,1
190,1,4,4,1,1,1,2,2,0,1,1,1
191,1,4,4,1,2,1,2,3,1,1,1,1
192,0,4,4,0,1,0,4,3,1,4,0,2
193,0,4,4,0,1,0,3,2,0,2,0,1
194,0,4,4,1,1,1,3,2,0,2,1,1
195,0,4,4,1,1,1,2,4,1,1,1,1
196,1,4,4,1,3,1,1,4,0,3,1,1
